gender,age,senior_citizen,married,dependents,number_of_dependents,referred_a_friend,number_of_referrals,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,satisfaction_score,tenure_in_months,churn_label
Male,78,Yes,No,No,0,No,0,None,No,0,No,Yes,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,3,1,Yes
Female,74,Yes,Yes,Yes,1,Yes,1,Offer E,Yes,48.85,Yes,Yes,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,3,8,Yes
Male,71,Yes,No,Yes,3,No,0,Offer D,Yes,11.33,Yes,Yes,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2,18,Yes
Female,78,Yes,Yes,Yes,1,Yes,1,Offer C,Yes,19.76,No,Yes,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,25,Yes
Female,80,Yes,Yes,Yes,1,Yes,1,Offer C,Yes,6.33,Yes,Yes,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,37,Yes
Female,72,Yes,No,Yes,1,No,0,Offer C,Yes,3.33,Yes,Yes,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,27,Yes
Female,76,Yes,Yes,Yes,2,Yes,1,Offer E,Yes,15.28,No,Yes,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,2,1,Yes
Male,66,Yes,Yes,No,0,Yes,6,Offer B,No,0,No,Yes,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,58,Yes
Female,70,Yes,No,Yes,2,No,0,Offer D,Yes,44.07,Yes,Yes,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,2,15,Yes
Female,77,Yes,No,Yes,2,No,0,Offer E,Yes,26.95,No,Yes,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,2,7,Yes
Female,78,Yes,No,Yes,1,No,0,Offer D,Yes,11.59,No,Yes,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1,11,Yes
Male,65,Yes,No,No,0,No,0,Offer D,Yes,29.11,No,Yes,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,15,Yes
Male,77,Yes,Yes,No,0,Yes,1,Offer E,No,0,No,Yes,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,2,1,Yes
Male,67,Yes,No,No,0,No,0,Offer E,No,0,No,Yes,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2,3,Yes
Male,68,Yes,No,No,0,No,0,Offer D,Yes,32.68,Yes,Yes,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1,13,Yes
Female,68,Yes,No,No,0,No,0,Offer D,Yes,9.43,No,Yes,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,16,Yes
Male,66,Yes,No,No,0,No,0,None,Yes,1.78,No,Yes,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,8,Yes
Male,69,Yes,No,No,0,No,0,Offer C,Yes,30.87,Yes,Yes,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,24,Yes
Female,74,Yes,No,No,0,No,0,Offer E,Yes,31.61,Yes,Yes,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,4,Yes
Male,76,Yes,Yes,No,0,Yes,2,Offer C,Yes,47.34,Yes,Yes,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,32,Yes
Male,77,Yes,Yes,No,0,Yes,1,Offer C,Yes,16.1,No,Yes,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2,24,Yes
Female,70,Yes,No,No,0,No,0,Offer B,Yes,12.08,Yes,Yes,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,1,54,Yes
Female,74,Yes,No,No,0,No,0,Offer E,Yes,13.17,No,Yes,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,2,Yes
Female,77,Yes,No,No,0,No,0,None,No,0,No,Yes,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,21,Yes
Male,71,Yes,Yes,No,0,No,0,None,No,0,No,Yes,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,1,27,Yes
Male,79,Yes,Yes,No,0,Yes,1,None,Yes,29.54,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,1,11,Yes
Female,66,Yes,Yes,No,0,Yes,2,Offer B,Yes,42.82,Yes,Yes,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,55,Yes
Male,77,Yes,No,No,0,No,0,Offer E,Yes,9.22,Yes,Yes,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,3,Yes
Female,80,Yes,No,No,0,No,0,Offer E,Yes,35.09,No,Yes,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,2,1,Yes
Female,77,Yes,No,No,0,No,0,Offer E,No,0,No,Yes,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,2,5,Yes
Female,77,Yes,No,No,0,No,0,None,Yes,48.73,Yes,Yes,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1,20,Yes
Female,72,Yes,Yes,No,0,Yes,4,Offer E,Yes,45.76,Yes,Yes,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,5,Yes
Female,80,Yes,Yes,No,0,Yes,2,None,Yes,7.02,No,Yes,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,27,Yes
Female,74,Yes,No,No,0,No,0,None,Yes,48.35,Yes,Yes,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,4,Yes
Female,68,Yes,No,No,0,No,0,None,Yes,45.81,Yes,Yes,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,1,Yes
Female,78,Yes,Yes,No,0,Yes,3,Offer B,Yes,18.39,Yes,Yes,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,1,65,Yes
Male,75,Yes,Yes,No,0,Yes,3,Offer B,Yes,22.92,Yes,Yes,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,2,49,Yes
Male,77,Yes,Yes,No,0,Yes,1,Offer B,Yes,14.52,Yes,Yes,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,43,Yes
Male,80,Yes,Yes,No,0,No,0,Offer B,Yes,48.8,Yes,Yes,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,1,56,Yes
