"term","estimate","se","z","p_value","hazard_ratio","conf_low","conf_high","term_label"
"offerOffer E",1.52637409097653,0.0733910997927897,20.7978092069208,4.53034162689952e-96,4.60146205471384,3.98497157252486,5.31332599383034,"Offer: Offer E vs None"
"internet_serviceYes",0.482638168161714,0.137587371017267,3.50786678016504,0.000451715192638696,1.62034350705993,1.23734985182439,2.12188418417002,"Internet Service: Yes vs No"
"payment_methodMailed Check",0.381003960717269,0.092291744938343,4.12825611837554,3.65524848208899e-05,1.46375340291163,1.22154379504393,1.75398870939238,"Payment Method: Mailed Check vs Bank Withdrawal"
"phone_serviceYes",0.369448332179718,0.0964606906741009,3.83004029514909,0.000128122276916351,1.44693616632348,1.19768299465309,1.74806211556951,"Phone Service: Yes vs No"
"referred_a_friendYes",0.257646351839133,0.16286262138131,1.58198578442321,0.113652815750176,1.2938811590115,0.94029791742877,1.78042344092692,"Referred a Friend: Yes vs No"
"streaming_musicYes",0.167553205069683,0.0878963353704925,1.90625928104316,0.0566165743893995,1.18240819862198,0.995290677168673,1.40470435445619,"Streaming Music: Yes vs No"
"number_of_dependents",0.159240175069038,0.0975526256374068,1.63235150287925,0.102605459350686,1.17261954684331,0.96854584828441,1.41969180299996,"Number of Dependents (per unit)"
"unlimited_dataYes",0.120304000830103,0.0686083323823279,1.75348965136909,0.0795179943283121,1.12783966366313,0.985934004003832,1.29016983060341,"Unlimited Data: Yes vs No"
"offerOffer D",0.036592056752894,0.0895021905156111,0.408839789753655,0.682657237496935,1.03726978731124,0.870376838690262,1.2361641117286,"Offer: Offer D vs None"
"paperless_billingYes",0.0291320913143214,0.0576753138856857,0.505105032840604,0.613485066674922,1.02956058150396,0.91951451740045,1.15277678701961,"Paperless Billing: Yes vs No"
"age",0.00247759123853117,0.00249124128737057,0.994520784113283,0.319969391900664,1.00248066300404,0.997597738098989,1.00738748827967,"Age (per unit)"
"avg_monthly_gb_download",0.00103083835338375,0.00171513668764655,0.601024023804322,0.54782398538188,1.00103136984985,0.997671946347184,1.00440210541388,"Avg Monthly Gb Download (per unit)"
"avg_monthly_long_distance_charges",-0.00277852947432299,0.00170748808819344,-1.62726141021736,0.10368159005584,0.997225327066033,0.993893575825826,1.0005682470738,"Avg Monthly Long Distance Charges (per unit)"
"senior_citizenYes",-0.0525285711520909,0.090209068941563,-0.582298118896656,0.560365892344178,0.948827211581959,0.795062065664839,1.13233056426303,"Senior Citizen: Yes vs No"
"genderMale",-0.0939007094726765,0.0468102165807792,-2.00598750297671,0.0448575813462217,0.910373149183453,0.830566693363578,0.997847948125463,"Gender: Male vs Female"
"payment_methodCredit Card",-0.146596151357629,0.0596190755660676,-2.45887998037098,0.0139371201749868,0.86364268792546,0.768398045061523,0.970693115633048,"Payment Method: Credit Card vs Bank Withdrawal"
"streaming_tvYes",-0.204718417931363,0.0550515973427357,-3.71866444958615,0.000200278887884571,0.814876738787077,0.731529620868895,0.907720043690848,"Streaming Tv: Yes vs No"
"device_protection_planYes",-0.209451605770538,0.0556602308530274,-3.76303875425169,0.000167861177044772,0.811028887601479,0.727207332034753,0.904512135051822,"Device Protection Plan: Yes vs No"
"number_of_referrals",-0.23935367554983,0.0281724285834006,-8.49602563872889,1.96192679818888e-17,0.787136442222859,0.744851342389405,0.831822060879559,"Number of Referrals (per unit)"
"premium_tech_supportYes",-0.245297369344482,0.0664304575229279,-3.6925437290541,0.00022202214920455,0.782471820509683,0.686946631237226,0.891280518821414,"Premium Tech Support: Yes vs No"
"marriedYes",-0.279664187958529,0.154467084503186,-1.81050991451036,0.0702167482589503,0.756037585356388,0.558548340317836,1.02335427251697,"Married: Yes vs No"
"offerOffer C",-0.3091123608707,0.1104039177205,-2.7998314484931,0.00511292961317621,0.734098281470022,0.591259623157474,0.911444424328145,"Offer: Offer C vs None"
"streaming_moviesYes",-0.319071765866827,0.0883301876568285,-3.6122618363096,0.000303537845240235,0.72682338632425,0.611282694051959,0.864202831272935,"Streaming Movies: Yes vs No"
"multiple_linesYes",-0.471879569621216,0.0545114487958536,-8.65652225440592,4.86376127307679e-18,0.623828636313059,0.560615469547327,0.694169513014763,"Multiple Lines: Yes vs No"
"online_backupYes",-0.496426803501324,0.0566077403285779,-8.76959229638615,1.79314378906736e-18,0.608701789569025,0.544778528959076,0.680125682141866,"Online Backup: Yes vs No"
"online_securityYes",-0.780058086908248,0.0670664101303824,-11.631129285014,2.86284878691788e-31,0.458379384690641,0.401918544974329,0.522771747998816,"Online Security: Yes vs No"
"offerOffer B",-0.803242134908661,0.108270214695001,-7.41886526383466,1.18128005953451e-13,0.447874537994047,0.362240161956849,0.553753070062054,"Offer: Offer B vs None"
"dependentsYes",-0.808278484807428,0.227459653616386,-3.55350266280894,0.000380137348868932,0.445624555714836,0.285335038968936,0.695958145812104,"Dependents: Yes vs No"
"satisfaction_score",-0.910112242284887,0.0257619535455572,-35.3277650577024,2.20114614053591e-273,0.40247904633048,0.382661404027923,0.423323024036341,"Satisfaction Score (per unit)"
"offerOffer A",-1.01969220874849,0.183361182246821,-5.56111275163949,2.6805993315559e-08,0.360705945223319,0.251811743031517,0.516690672774395,"Offer: Offer A vs None"
"contractOne Year",-1.12883570546597,0.091943074920333,-12.2775500650167,1.19564307867259e-34,0.323409581311008,0.270078986293583,0.387270993271817,"Contract: One Year vs Month-to-Month"
"contractTwo Year",-2.72524477867191,0.172357740065932,-15.811560174956,2.58973165045007e-56,0.0655301603690665,0.0467444502437487,0.091865491959013,"Contract: Two Year vs Month-to-Month"
