"metric","value"
"Initial rows","7043"
"Rows retained","7043"
"Rows dropped for missing survival outcome","0"
"Rows dropped for nonpositive tenure","0"
"Missing values in raw data","0"
"Event count (churn = 1)","1869"
"Censored count (churn = 0)","5174"
"Censoring rate","0.7346"
"Continuous covariates","age, number_of_dependents, number_of_referrals, avg_monthly_long_distance_charges, avg_monthly_gb_download, satisfaction_score"
"Categorical covariates","gender, senior_citizen, married, dependents, referred_a_friend, offer, phone_service, multiple_lines, internet_service, online_security, online_backup, device_protection_plan, premium_tech_support, streaming_tv, streaming_movies, streaming_music, unlimited_data, contract, paperless_billing, payment_method"
"Dummy-coded design columns","32"
"Standardization","Not applied to final models; raw scales were already moderate and native-unit interpretation was preferable."
