"term_label","time_ratio","conf_low","conf_high","p_value"
"Contract: Two Year vs Month-to-Month",5.17271369700393,4.14348124531098,6.45760543056685,9.27062227134028e-48
"Contract: One Year vs Month-to-Month",2.40808787213011,2.08151244428492,2.78590080776204,3.10548174772146e-32
"Offer: Offer B vs None",2.21487129589737,1.85063364622504,2.65079739979694,4.14026095450705e-18
"Online Security: Yes vs No",2.20968631070691,1.96280602151309,2.48761902001989,2.64783075878191e-39
"Satisfaction Score (per unit)",2.17159499337864,2.0726200931658,2.27529629323627,7.3349717956526e-233
"Dependents: Yes vs No",1.98123509976682,1.40945793002704,2.78496607591029,8.30294768814249e-05
"Offer: Offer C vs None",1.95148465487401,1.60718524127107,2.3695416436234,1.46688677343749e-11
"Multiple Lines: Yes vs No",1.4982804776634,1.36228965172509,1.64784661390078,8.19000442171821e-17
"Online Backup: Yes vs No",1.47355157503131,1.33645817134416,1.62470797128905,7.18986634973156e-15
"Offer: Offer D vs None",1.45983279581378,1.24336652186535,1.71398517995829,3.83690294430762e-06
